날짜:2020.1.1		소비:[식료품]10000 [주거비]0 [의류비]0 [보건의료비]0 [교통비]6200 [문화생활비]54000 [통신비]0 [가정용품]0 [주류,담배]114500 [교육비]0 [가정용품]0 [기타]0
날짜:2020.1.2		소비:[식료품]21000 [주거비]0 [의류비]0 [보건의료비]0 [교통비]3900 [문화생활비]0 [통신비]0 [가정용품]0 [주류,담배]0 [교육비]0 [가정용품]0 [기타]0
날짜:2020.1.3		소비:[식료품]21000 [주거비]0 [의류비]0 [보건의료비]0 [교통비]8500 [문화생활비]0 [통신비]0 [가정용품]0 [주류,담배]0 [교육비]0 [가정용품]0 [기타]0
날짜:2020.1.4		소비:[식료품]14000 [주거비]0 [의류비]0 [보건의료비]0 [교통비]4700 [문화생활비]0 [통신비]0 [가정용품]0 [주류,담배]4500 [교육비]0 [가정용품]0 [기타]0
날짜:2020.1.5		소비:[식료품]17000 [주거비]0 [의류비]0 [보건의료비]0 [교통비]0 [문화생활비]0 [통신비]0 [가정용품]0 [주류,담배]0 [교육비]0 [가정용품]0 [기타]0
날짜:2020.1.6		소비:[식료품]17000 [주거비]0 [의류비]0 [보건의료비]0 [교통비]2700 [문화생활비]0 [통신비]0 [가정용품]0 [주류,담배]4500 [교육비]0 [가정용품]0 [기타]0
날짜:2020.1.7		소비:[식료품]12000 [주거비]0 [의류비]55000 [보건의료비]0 [교통비]3200 [문화생활비]0 [통신비]0 [가정용품]0 [주류,담배]0 [교육비]0 [가정용품]0 [기타]0
날짜:2020.1.8		소비:[식료품]20000 [주거비]0 [의류비]0 [보건의료비]0 [교통비]2600 [문화생활비]0 [통신비]0 [가정용품]0 [주류,담배]4500 [교육비]0 [가정용품]33000 [기타]0
날짜:2020.1.9		소비:[식료품]14000 [주거비]0 [의류비]0 [보건의료비]0 [교통비]2400 [문화생활비]0 [통신비]0 [가정용품]0 [주류,담배]0 [교육비]0 [가정용품]0 [기타]0
날짜:2020.1.10	소비: [식료품]11000[주거비]792000 [의류비]0 [보건의료비]0 [교통비]6300 [문화생활비]9500 [통신비]32000 [가정용품]0 [주류,담배]4500 [교육비]160000 [가정용품]0 [기타]0		소득:[월급]2400000
날짜:2020.1.11	소비:[식료품]11000 [주거비]0 [의류비]0 [보건의료비]0 [교통비]0 [문화생활비]0 [통신비]0 [가정용품]0 [주류,담배]0 [교육비]0 [가정용품]0 [기타]0
날짜:2020.1.12	소비:[식료품]15000 [주거비]0 [의류비]0 [보건의료비]0 [교통비]8300 [문화생활비]0 [통신비]0 [가정용품]0 [주류,담배]4500 [교육비]0 [가정용품]0 [기타]0
날짜:2020.1.13	소비:[식료품]19000 [주거비]0 [의류비]0 [보건의료비]0 [교통비]9300 [문화생활비]0 [통신비]0 [가정용품]0 [주류,담배]0 [교육비]0 [가정용품]0 [기타]0
날짜:2020.1.14	소비:[식료품]23000 [주거비]0 [의류비]0 [보건의료비]0 [교통비]0 [문화생활비]0 [통신비]0 [가정용품]0 [주류,담배]11200 [교육비]0 [가정용품]0 [기타]0
날짜:2020.1.15	소비:[식료품]13000 [주거비]0 [의류비]0 [보건의료비]0 [교통비]9100 [문화생활비]0 [통신비]0 [가정용품]0 [주류,담배]4500 [교육비]0 [가정용품]0 [기타]0
날짜:2020.1.16	소비:[식료품]22000 [주거비]0 [의류비]0 [보건의료비]32000 [교통비]2900 [문화생활비]0 [통신비]0 [가정용품]0 [주류,담배]0 [교육비]0 [가정용품]0 [기타]0
날짜:2020.1.17	소비:[식료품]21000 [주거비]0 [의류비]0 [보건의료비]0 [교통비]3500 [문화생활비]0 [통신비]0 [가정용품]0 [주류,담배]0 [교육비]0 [가정용품]0 [기타]0
날짜:2020.1.18	소비:[식료품]17000 [주거비]0 [의류비]0 [보건의료비]0 [교통비]10000 [문화생활비]0 [통신비]0 [가정용품]0 [주류,담배]4500 [교육비]0 [가정용품]0 [기타]0
날짜:2020.1.19	소비:[식료품]22000 [주거비]0 [의류비]0 [보건의료비]0 [교통비]9500 [문화생활비]0 [통신비]0 [가정용품]0 [주류,담배]0 [교육비]0 [가정용품]0 [기타]0
날짜:2020.1.20	소비:[식료품]18000 [주거비]0 [의류비]0 [보건의료비]0 [교통비]4600 [문화생활비]0 [통신비]0 [가정용품]0 [주류,담배]0 [교육비]0 [가정용품]0 [기타]0
날짜:2020.1.21	소비:[식료품]23000 [주거비]0 [의류비]0 [보건의료비]0 [교통비]7300 [문화생활비]0 [통신비]0 [가정용품]0 [주류,담배]4500 [교육비]0 [가정용품]0 [기타]0
날짜:2020.1.22	소비:[식료품]16000 [주거비]0 [의류비]0 [보건의료비]0 [교통비]0 [문화생활비]0 [통신비]0 [가정용품]0 [주류,담배]0 [교육비]0 [가정용품]0 [기타]0
날짜:2020.1.23	소비:[식료품]19000 [주거비]0 [의류비]22000 [보건의료비]0 [교통비]5200 [문화생활비]0 [통신비]0 [가정용품]0 [주류,담배]0 [교육비]0 [가정용품]0 [기타]0
