소득:2538700 음식:453996 주거비:262423 의류비:88010 보건의료비:118494 교통비:161881 문화생활비:95916 통신비:67347 주류담배:33630 교육비:13487 가정용품:70295 기타소비:122276
소득:3110166 음식:496881 주거비:267325 의류비:107174 보건의료비:111044 교통비:205937 문화생활비:113124 통신비:76785 주류담배:38790 교육비:16450 가정용품:70278 기타소비:147967
소득:1728689 음식:393209 주거비:255475 의류비:60846 보건의료비:129055 교통비:99435 문화생활비:71525 통신비:53968 주류담배:26316 교육비:9287 가정용품:70320 기타소비:85859
소득:2725847 음식:424845 주거비:300210 의류비:65171 보건의료비:130408 교통비:160101 문화생활비:91751 통신비:64005 주류담배:33048 교육비:30204 가정용품:58219 기타소비:109102
소득:3373824 음식:473426 주거비:301040 의류비:82021 보건의료비:124075 교통비:204667 문화생활비:112196 통신비:78352 주류담배:38306 교육비:41865 가정용품:64316 기타소비:131887
소득:1832029 음식:357834 주거비:299064 의류비:41928 보건의료비:139144 교통비:98627 문화생활비:63549 통신비:44216 주류담배:25796 교육비:14120 가정용품:49809 기타소비:77672
소득:2527956 음식:450947 주거비:263762 의류비:89882 보건의료비:117690 교통비:164029 문화생활비:96738 통신비:67946 주류담배:33825 교육비:13927 가정용품:68896 기타소비:124107
소득:3098534 음식:496761 주거비:265095 의류비:107642 보건의료비:111075 교통비:206516 문화생활비:111943 통신비:75894 주류담배:38624 교육비:16615 가정용품:68819 기타소비:148948
소득:1667468 음식:381855 주거비:261751 의류비:63097 보건의료비:127665 교통비:99954 문화생활비:96738 통신비:55959 주류담배:26587 교육비:9873 가정용품:69012 기타소비:86644
소득:2756975 음식:426172 주거비:302197 의류비:66494 보건의료비:131442 교통비:165317 문화생활비:92840 통신비:64773 주류담배:33389 교육비:31326 가정용품:57862 기타소비:110812
소득:3392285 음식:473696 주거비:301771 의류비:82527 보건의료비:124637 교통비:208311 문화생활비:112347 통신비:78342 주류담배:38199 교육비:42716 가정용품:64724 기타소비:133232
소득:1833833 음식:357116 주거비:302818 의류비:43195 보건의료비:141331 교통비:102845 문화생활비:64495 통신비:45058 주류담배:26400 교육비:14775 가정용품:47890 기타소비:78233
